Event String Code,Lap,Sector,Distance around lap,Message
[OVTK],4,2,1390.74414,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],4,2,1793.76562,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[OVTK],4,2,2207.76758,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],4,2,2234.09473,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],4,2,2246.42773,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[COLL],4,2,2255.50781,Collision between user [ID:15-PEREZ-Red Bull Racing-Mexican-11] and user [ID:17-ALONSO-Aston Martin-Spanish-14]
[OVTK],4,2,2275.45801,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:1-LECLERC-Ferrari-Monegasque-16]
[OVTK],4,2,2367.4043,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[OVTK],4,2,2806.14746,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:1-LECLERC-Ferrari-Monegasque-16]
[OVTK],5,1,406.31445,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[OVTK],5,1,1111.33008,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[COLL],5,2,1385.20703,Collision between user [ID:17-ALONSO-Aston Martin-Spanish-14] and user [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],5,2,1404.35938,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:18-NORRIS-McLaren-British-4]
[OVTK],5,2,1410.51953,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[OVTK],5,2,1424.85352,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[OVTK],5,2,1453.41016,User [ID:18-NORRIS-McLaren-British-4] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],5,2,1939.4375,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:17-ALONSO-Aston Martin-Spanish-14]
[RCWN],5,1,2.07617,User [ID:1-LECLERC-Ferrari-Monegasque-16] has won the race
[OVTK],5,3,4318.30664,User [ID:15-PEREZ-Red Bull Racing-Mexican-11] has overtaken [ID:18-NORRIS-McLaren-British-4]
[CHQF],NA,NA,NA,Chequered flag is waving
[SEND],NA,NA,NA,Session has ended
[None],NA,NA,NA,----- Final Classifications in new file -----
